Downregulated,Upregulated
ENSMUSG00000045930,ENSMUSG00000039616
ENSMUSG00000021234,ENSMUSG00000054720
ENSMUSG00000116813,ENSMUSG00000090862
ENSMUSG00000109021,ENSMUSG00000022074
ENSMUSG00000038624,ENSMUSG00000057157
ENSMUSG00000047746,ENSMUSG00000015850
ENSMUSG00000111692,ENSMUSG00000004530
ENSMUSG00000097063,ENSMUSG00000027803
ENSMUSG00000022537,ENSMUSG00000051166
ENSMUSG00000021750,ENSMUSG00000036469
ENSMUSG00000111340,ENSMUSG00000038884
ENSMUSG00000032394,ENSMUSG00000026466
ENSMUSG00000102425,ENSMUSG00000020248
ENSMUSG00000029925,ENSMUSG00000008384
ENSMUSG00000062563,ENSMUSG00000095762
ENSMUSG00000074219,ENSMUSG00000108799
ENSMUSG00000021624,ENSMUSG00000023025
ENSMUSG00000063535,ENSMUSG00000111740
ENSMUSG00000044296,ENSMUSG00000108443
ENSMUSG00000042961,ENSMUSG00000011305
ENSMUSG00000020486,ENSMUSG00000103553
ENSMUSG00000074577,ENSMUSG00000102428
ENSMUSG00000120906,ENSMUSG00000035529
ENSMUSG00000115718,ENSMUSG00000081992
ENSMUSG00000095193,ENSMUSG00000016487
ENSMUSG00000121868,ENSMUSG00000022009
ENSMUSG00000039463,ENSMUSG00000039158
ENSMUSG00000048485,ENSMUSG00000026305
ENSMUSG00000037348,ENSMUSG00000053332
ENSMUSG00000097303,ENSMUSG00000035517
ENSMUSG00000041986,ENSMUSG00000052825
ENSMUSG00000021573,ENSMUSG00000106019
ENSMUSG00000063434,ENSMUSG00000030316
ENSMUSG00000059305,ENSMUSG00000045427
ENSMUSG00000087178,ENSMUSG00000059820
ENSMUSG00000042826,ENSMUSG00000021998
ENSMUSG00000119968,ENSMUSG00000090733
ENSMUSG00000027796,ENSMUSG00000023991
ENSMUSG00000049532,ENSMUSG00000040661
ENSMUSG00000101037,ENSMUSG00000050737
ENSMUSG00000120414,ENSMUSG00000021458
ENSMUSG00000093865,ENSMUSG00000001098
ENSMUSG00000085566,ENSMUSG00000022150
ENSMUSG00000030364,ENSMUSG00000003534
ENSMUSG00000037016,ENSMUSG00000039617
ENSMUSG00000120969,ENSMUSG00000008200
ENSMUSG00000096935,ENSMUSG00000032410
ENSMUSG00000027716,ENSMUSG00000004843
ENSMUSG00000059659,ENSMUSG00000002897
ENSMUSG00000117994,ENSMUSG00000031485
ENSMUSG00000030283,ENSMUSG00000037860
ENSMUSG00000097842,ENSMUSG00000051316
ENSMUSG00000024793,ENSMUSG00000026977
ENSMUSG00000103392,ENSMUSG00000027936
ENSMUSG00000034258,ENSMUSG00000042348
ENSMUSG00000078875,ENSMUSG00000000531
ENSMUSG00000032725,ENSMUSG00000020086
ENSMUSG00000020490,ENSMUSG00000007817
ENSMUSG00000026768,ENSMUSG00000039233
ENSMUSG00000056592,ENSMUSG00000018449
ENSMUSG00000020261,ENSMUSG00000038342
ENSMUSG00000021319,ENSMUSG00000039115
ENSMUSG00000045201,ENSMUSG00000033684
ENSMUSG00000021379,ENSMUSG00000035378
ENSMUSG00000051705,ENSMUSG00000004952
ENSMUSG00000079550,ENSMUSG00000061689
ENSMUSG00000015093,ENSMUSG00000035104
ENSMUSG00000058246,ENSMUSG00000042331
ENSMUSG00000048387,ENSMUSG00000040158
ENSMUSG00000002007,ENSMUSG00000035399
ENSMUSG00000030321,ENSMUSG00000074794
ENSMUSG00000021798,ENSMUSG00000102602
ENSMUSG00000001739,ENSMUSG00000030247
ENSMUSG00000072762,ENSMUSG00000100018
ENSMUSG00000097724,ENSMUSG00000042485
ENSMUSG00000022123,ENSMUSG00000033257
ENSMUSG00000038602,ENSMUSG00000058581
ENSMUSG00000056481,ENSMUSG00000018932
ENSMUSG00000054057,ENSMUSG00000037536
ENSMUSG00000020695,ENSMUSG00000035049
ENSMUSG00000072572,ENSMUSG00000032750
ENSMUSG00000028957,ENSMUSG00000104293
ENSMUSG00000062410,ENSMUSG00000030798
ENSMUSG00000031831,ENSMUSG00000034574
ENSMUSG00000032657,ENSMUSG00000106664
ENSMUSG00000039904,ENSMUSG00000037926
ENSMUSG00000067206,ENSMUSG00000052298
ENSMUSG00000028289,ENSMUSG00000032278
ENSMUSG00000094910,ENSMUSG00000037197
ENSMUSG00000085882,ENSMUSG00000020464
ENSMUSG00000085444,ENSMUSG00000034663
ENSMUSG00000087444,ENSMUSG00000113831
ENSMUSG00000013415,ENSMUSG00000109865
ENSMUSG00000065952,ENSMUSG00000042506
ENSMUSG00000001520,ENSMUSG00000026029
ENSMUSG00000020546,ENSMUSG00000009630
ENSMUSG00000097073,ENSMUSG00000022587
ENSMUSG00000070985,ENSMUSG00000004100
ENSMUSG00000116551,ENSMUSG00000074342
ENSMUSG00000093629,ENSMUSG00000026385
ENSMUSG00000113019,ENSMUSG00000042167
ENSMUSG00000097084,ENSMUSG00000028961
ENSMUSG00000103916,ENSMUSG00000024661
ENSMUSG00000053647,ENSMUSG00000031770
ENSMUSG00000095300,ENSMUSG00000080021
ENSMUSG00000085772,ENSMUSG00000022565
ENSMUSG00000003070,ENSMUSG00000000826
ENSMUSG00000086392,ENSMUSG00000027087
ENSMUSG00000031273,ENSMUSG00000092203
ENSMUSG00000027955,ENSMUSG00000044864
ENSMUSG00000057093,ENSMUSG00000024423
ENSMUSG00000023073,ENSMUSG00000052934
ENSMUSG00000017969,ENSMUSG00000121107
ENSMUSG00000085445,ENSMUSG00000010660
ENSMUSG00000044338,ENSMUSG00000032435
ENSMUSG00000039891,ENSMUSG00000026434
ENSMUSG00000037953,ENSMUSG00000028796
ENSMUSG00000090659,ENSMUSG00000037313
ENSMUSG00000044461,ENSMUSG00000107200
ENSMUSG00000097101,ENSMUSG00000053158
ENSMUSG00000001661,ENSMUSG00000020694
ENSMUSG00000030486,ENSMUSG00000050944
ENSMUSG00000027217,ENSMUSG00000045176
ENSMUSG00000019124,ENSMUSG00000045934
ENSMUSG00000005237,ENSMUSG00000031805
ENSMUSG00000033350,ENSMUSG00000021629
ENSMUSG00000032064,ENSMUSG00000044337
ENSMUSG00000047182,ENSMUSG00000022488
ENSMUSG00000051041,ENSMUSG00000047370
ENSMUSG00000086794,ENSMUSG00000041992
ENSMUSG00000086600,ENSMUSG00000074578
ENSMUSG00000052273,ENSMUSG00000101188
