Downregulated,Upregulated
ENSMUSG00000069305,ENSMUSG00000024217
ENSMUSG00000074623,ENSMUSG00000028809
ENSMUSG00000030257,ENSMUSG00000035351
ENSMUSG00000027931,ENSMUSG00000121655
ENSMUSG00000035486,ENSMUSG00000038806
ENSMUSG00000067889,ENSMUSG00000024287
ENSMUSG00000017309,ENSMUSG00000037111
ENSMUSG00000027765,ENSMUSG00000022052
ENSMUSG00000048826,ENSMUSG00000019929
ENSMUSG00000015599,ENSMUSG00000028651
ENSMUSG00000032898,ENSMUSG00000027569
ENSMUSG00000023942,ENSMUSG00000105677
ENSMUSG00000058921,ENSMUSG00000025162
ENSMUSG00000020309,ENSMUSG00000057963
ENSMUSG00000024013,ENSMUSG00000047669
ENSMUSG00000046312,ENSMUSG00000030279
ENSMUSG00000032204,ENSMUSG00000020738
ENSMUSG00000105368,ENSMUSG00000044339
ENSMUSG00000020486,ENSMUSG00000022488
ENSMUSG00000044345,ENSMUSG00000024608
ENSMUSG00000047250,ENSMUSG00000051224
ENSMUSG00000040289,ENSMUSG00000026942
ENSMUSG00000031016,ENSMUSG00000080268
ENSMUSG00000038267,ENSMUSG00000037253
ENSMUSG00000021611,ENSMUSG00000057322
ENSMUSG00000032377,ENSMUSG00000121784
ENSMUSG00000003948,ENSMUSG00000025878
ENSMUSG00000046070,ENSMUSG00000028059
ENSMUSG00000032741,ENSMUSG00000024911
ENSMUSG00000038415,ENSMUSG00000027078
ENSMUSG00000079434,ENSMUSG00000024965
ENSMUSG00000021559,ENSMUSG00000014867
ENSMUSG00000040740,ENSMUSG00000068134
ENSMUSG00000072294,ENSMUSG00000024687
ENSMUSG00000020718,ENSMUSG00000035125
ENSMUSG00000097908,ENSMUSG00000069089
ENSMUSG00000028121,ENSMUSG00000021621
ENSMUSG00000054939,ENSMUSG00000053173
ENSMUSG00000081207,ENSMUSG00000029344
ENSMUSG00000026853,ENSMUSG00000085492
ENSMUSG00000026890,ENSMUSG00000047989
ENSMUSG00000096606,ENSMUSG00000033184
ENSMUSG00000040441,ENSMUSG00000061848
ENSMUSG00000025317,ENSMUSG00000022329
ENSMUSG00000115124,ENSMUSG00000038034
ENSMUSG00000034872,ENSMUSG00000040167
ENSMUSG00000020154,ENSMUSG00000027936
ENSMUSG00000036687,ENSMUSG00000000266
ENSMUSG00000048388,ENSMUSG00000028902
ENSMUSG00000000686,ENSMUSG00000073639
ENSMUSG00000038700,ENSMUSG00000034349
ENSMUSG00000025375,ENSMUSG00000075701
ENSMUSG00000023800,ENSMUSG00000012296
ENSMUSG00000017639,ENSMUSG00000086925
ENSMUSG00000047246,ENSMUSG00000087590
ENSMUSG00000039157,ENSMUSG00000029163
ENSMUSG00000118017,ENSMUSG00000021585
ENSMUSG00000058396,ENSMUSG00000035572
ENSMUSG00000024663,ENSMUSG00000026889
ENSMUSG00000031842,ENSMUSG00000019873
ENSMUSG00000025372,ENSMUSG00000020993
ENSMUSG00000113786,ENSMUSG00000001785
ENSMUSG00000046027,ENSMUSG00000106037
ENSMUSG00000120623,ENSMUSG00000058838
ENSMUSG00000027296,ENSMUSG00000029089
ENSMUSG00000029650,ENSMUSG00000059070
ENSMUSG00000047759,ENSMUSG00000043091
ENSMUSG00000065952,ENSMUSG00000090231
ENSMUSG00000018796,ENSMUSG00000028333
ENSMUSG00000086533,ENSMUSG00000029014
ENSMUSG00000030909,ENSMUSG00000075609
ENSMUSG00000109628,ENSMUSG00000031590
ENSMUSG00000046959,ENSMUSG00000074406
ENSMUSG00000110663,ENSMUSG00000031732
ENSMUSG00000032014,ENSMUSG00000032002
ENSMUSG00000072568,ENSMUSG00000020250
