Downregulated,Upregulated,
ENSMUSG00000087013,ENSMUSG00000021243,
ENSMUSG00000045629,ENSMUSG00000021938,
ENSMUSG00000105160,ENSMUSG00000025364,
ENSMUSG00000031070,ENSMUSG00000025602,
ENSMUSG00000053164,ENSMUSG00000027351,
ENSMUSG00000034881,ENSMUSG00000028041,
ENSMUSG00000120465,ENSMUSG00000029447,
ENSMUSG00000107792,ENSMUSG00000030224,
ENSMUSG00000105345,ENSMUSG00000031432,
ENSMUSG00000045930,ENSMUSG00000033499,
ENSMUSG00000029120,ENSMUSG00000033955,
ENSMUSG00000070802,ENSMUSG00000036850,
ENSMUSG00000101605,ENSMUSG00000039041,
ENSMUSG00000104476,ENSMUSG00000039191,
ENSMUSG00000043664,ENSMUSG00000041264,
ENSMUSG00000110140,ENSMUSG00000042626,
ENSMUSG00000074912,ENSMUSG00000042851,
ENSMUSG00000085882,ENSMUSG00000044147,
ENSMUSG00000036144,ENSMUSG00000046962,
ENSMUSG00000085139,ENSMUSG00000060802,
ENSMUSG00000006542,ENSMUSG00000071757,
ENSMUSG00000038526,ENSMUSG00000078566,
ENSMUSG00000066319,ENSMUSG00000079426,
ENSMUSG00000097842,ENSMUSG00000085492,
ENSMUSG00000074793,ENSMUSG00000091462,
ENSMUSG00000020814,ENSMUSG00000094627,
ENSMUSG00000060548,ENSMUSG00000098650,
ENSMUSG00000100005,ENSMUSG00000110686,
ENSMUSG00000120189,ENSMUSG00000112449,
ENSMUSG00000025578,ENSMUSG00000000134,
ENSMUSG00000023011,ENSMUSG00000004393,
ENSMUSG00000094910,ENSMUSG00000005802,
ENSMUSG00000021263,ENSMUSG00000009207,
ENSMUSG00000036158,ENSMUSG00000015214,
ENSMUSG00000120546,ENSMUSG00000019173,
ENSMUSG00000027996,ENSMUSG00000021116,
ENSMUSG00000063632,ENSMUSG00000021366,
ENSMUSG00000021057,ENSMUSG00000021795,
ENSMUSG00000028681,ENSMUSG00000022181,
ENSMUSG00000105366,ENSMUSG00000022557,
ENSMUSG00000040289,ENSMUSG00000023027,
ENSMUSG00000026785,ENSMUSG00000025403,
ENSMUSG00000091890,ENSMUSG00000032584,
ENSMUSG00000086969,ENSMUSG00000035372,
ENSMUSG00000097610,ENSMUSG00000036273,
ENSMUSG00000090799,ENSMUSG00000038697,
ENSMUSG00000070720,ENSMUSG00000044026,
ENSMUSG00000029168,ENSMUSG00000048807,
