#1.2										
16672	9									
NAME	DESCRIPTION	S89	S88	S87	S84	S85	S83	S117	S116	S115
ENSMUSG00000000693	na	56.3145	60.021	47.2387	79.1754	88.2628	77.0762	103.144	39.4823	83.4262
ENSMUSG00000000708	na	1563.92	1002.25	3249.1	3762.43	4357.46	3781.76	4589.48	3708.08	4659.47
ENSMUSG00000000711	na	3200.29	3469.81	3379.39	6287.19	6414.93	3083.85	6318.05	3173.65	6825.62
ENSMUSG00000000732	na	165.899	364.627	75.9928	41.8285	60.871	183.932	101.804	133.488	86.2071
ENSMUSG00000000738	na	1869.03	1515.53	2518.04	2512.7	2856.36	2548.77	2608.07	2425.34	2545.88
ENSMUSG00000000739	na	914.729	861.3	1643.08	2747.24	1317.86	1303.29	486.248	1447.68	2256.68
ENSMUSG00000000740	na	1735.4	2309.07	1511.14	1497.3	1152.16	2376.67	952.309	1463.77	1111.18
ENSMUSG00000000743	na	4010.09	3803.74	4531.81	3805.98	4159.93	4030	3763.14	3954.52	4034.43
ENSMUSG00000000751	na	438.339	543.19	624.372	1459.52	1422.86	966.96	1319.44	669.32	1582.32
ENSMUSG00000000753	na	25081.4	18831.8	24895.1	31039	27505	37183.8	29140.2	30841.3	33096.3
ENSMUSG00000000759	na	1487.01	1853.15	1443.87	1014.34	1116.98	1571.3	1477.49	1455.2	1297.28
ENSMUSG00000000776	na	2079.06	2127.76	1973.76	1078.57	975.456	1951.44	981.875	1947.8	664.63
ENSMUSG00000000782	na	208.516	123.043	164.309	185.24	188.7	120.87	333.542	287.657	518.633
ENSMUSG00000000787	na	50855.9	15059.1	41746.5	16484.9	21417.1	37264.2	36347.8	67242.2	22127.3
ENSMUSG00000000791	na	63.9245	261.091	45.1849	143.412	80.654	73.5728	48.2229	48.8828	19.4661
ENSMUSG00000000804	na	3741.09	1743.61	2813.79	1865.84	1982.87	1909.38	2011.98	2301.27	1902.11
ENSMUSG00000000811	na	144.591	124.543	412.826	213.624	299.789	527.272	229.059	240.654	318.41
ENSMUSG00000000823	na	570.756	1117.89	977.641	1538.7	1847.43	1266.51	1344.88	661.797	1981.36
ENSMUSG00000000826	na	11807.6	6824.36	10963.6	6957.08	6615.09	7786.33	6648.11	12027.5	5322.63
ENSMUSG00000000827	na	3509.76	2679.94	2739.85	1807.59	1827.65	2152.88	2029.17	2637.79	1820.08
ENSMUSG00000000838	na	2098.96	1398.5	2238.72	1390.8	1305.68	2172.14	1711.93	2654.71	1607.34
ENSMUSG00000000861	na	7.61006	4.50157	14.377	2.98775	12.1742	12.2621	8.03716	3.76022	9.73306
ENSMUSG00000000876	na	2133.86	6302.2	3678.46	5591.57	6802.32	2902.62	7727.73	6114.12	8106.25
ENSMUSG00000000881	na	272.44	445.657	361.479	936.663	853.716	273.27	766.213	193.651	1070.64
ENSMUSG00000000884	na	38.0503	79.5278	69.8312	41.8285	50.2185	134.883	44.2044	62.0436	65.3505
ENSMUSG00000000901	na	1.52201	4.50157	4.10772	13.4449	13.696	5.2552	20.0929	3.76022	23.6374
ENSMUSG00000000902	na	776.226	1411.99	848.243	1354.94	1139.81	805.797	1289.96	802.807	1283.37
ENSMUSG00000000915	na	9259.89	9273.23	9059.55	4850.61	5889.24	14828.4	6180.55	10263.5	3444.11
ENSMUSG00000000916	na	525.095	610.713	525.787	764.864	738.059	564.057	810.412	550.873	609.012
ENSMUSG00000000934	na	852.328	1255.94	928.345	1096.5	893.281	1108.85	1012.68	970.135	1326.47
ENSMUSG00000000942	na	13.6981	25.5089	10.2693	5.9755	4.56532	17.5173	8.03716	18.8011	12.5139
ENSMUSG00000000948	na	9.13208	7.50262	14.377	40.4514	18.2613	7.00693	1.33953	9.67036	12.5139
ENSMUSG00000000957	na	2415.43	2855.52	2064.13	1083.06	1325.46	3261.72	2640.21	3878.67	2440.22
ENSMUSG00000000958	na	325.71	357.124	618.212	91.1263	206.961	1037.03	195.571	1160.02	147.386
ENSMUSG00000000959	na	1342.42	1979.19	1616.39	2239.31	2037.65	2147.62	1975.81	1447.69	1942.45
ENSMUSG00000000976	na	3074.49	2600.38	2133.95	1253.36	1202.2	2163.39	1472.14	4485.88	1167.96
ENSMUSG00000000982	na	1996.88	247.587	897.536	14.9387	28.9137	600.844	54.9206	1214.55	4.17131
ENSMUSG00000001014	na	13.6981	22.5079	14.377	14.9387	7.60887	10.5104	25.451	9.40054	8.34262
ENSMUSG00000001016	na	1598.11	1829.14	1692.38	1115.92	1110.9	1760.49	1031.43	1836.87	1019.19
ENSMUSG00000001017	na	6975.31	5846.18	5660.41	4507.03	4633.77	5815.61	4771.38	5813.24	4669.09
ENSMUSG00000001018	na	550.968	816.286	683.935	844.04	884.149	690.182	802.376	475.667	927.421
ENSMUSG00000001020	na	21.3082	126.044	201.278	7.46937	12.1742	113.863	2.67905	39.4823	13.9044
ENSMUSG00000001025	na	284.616	396.139	523.735	28.3836	66.958	294.291	45.5439	398.583	79.2549
ENSMUSG00000001029	na	153.723	204.071	108.854	65.7305	98.9153	360.857	117.878	172.97	68.1314
ENSMUSG00000001034	na	620.982	622.717	486.764	116.522	149.134	406.402	179.497	313.978	204.394
ENSMUSG00000001036	na	569.234	861.3	449.795	428.742	453.489	530.776	535.81	656.157	585.374
ENSMUSG00000001039	na	10.6541	28.51	6.16157	17.9265	13.696	3.50347	17.4138	1.88011	11.1235
ENSMUSG00000001052	na	2602.63	1724.11	2080.56	1679.12	1616.13	2243.98	1785.59	2314.42	1600.39
ENSMUSG00000001053	na	80.6667	99.0346	51.3465	119.51	80.654	141.89	124.576	75.2044	159.9
ENSMUSG00000001054	na	678.817	867.303	924.235	979.984	768.494	816.306	692.532	806.565	755.007
ENSMUSG00000001056	na	1518.97	1264.93	2138.07	1144.31	929.803	2622.34	671.105	1707.13	791.16
ENSMUSG00000001062	na	263.308	738.258	427.203	876.906	798.932	492.238	788.982	430.545	1084.54
ENSMUSG00000001065	na	910.165	1956.68	801.004	1703.02	1231.11	811.052	1504.29	1017.14	1628.2
ENSMUSG00000001082	na	263.308	369.129	234.14	210.636	248.049	217.215	263.887	268.856	248.888
ENSMUSG00000001089	na	1276.98	910.822	1031.04	1000.9	1191.54	1180.67	1289.97	1225.83	1072.03
ENSMUSG00000001098	na	2409.34	1832.14	2361.93	882.881	1018.07	1616.85	1051.53	2793.85	763.35
ENSMUSG00000001100	na	2581.33	3307.18	3189.65	4828.24	4659.71	3831.05	4661.51	3483.86	4906.82
ENSMUSG00000001103	na	272.44	544.692	499.088	179.265	124.785	1157.9	225.041	398.584	68.1315
ENSMUSG00000001105	na	4666.5	5574.44	3031.49	3170.01	2740.71	2440.17	2740.67	2735.55	2757.24
