#1.2																
20399	15															
NAME	DESCRIPTION	S1	S5	S40	S41	S6	S7	S34	S36	S38	S2	S3	S39	S33	S35	S37
ENSMUSG00000000402	na	1679.89	1326	1216.81	976.821	1241.27	1043.28	1054.69	1460.77	1136.17	1654.77	1501.86	1443.54	1617.47	1559.06	1321
ENSMUSG00000000409	na	207.58	305.22	423.207	227.709	333.734	362.652	179.287	405.221	515.403	371.054	255.018	317.633	266.502	307.867	331.774
ENSMUSG00000000416	na	69.4725	48.8722	57.8073	87.9786	44.0781	91.9771	74.1186	81.9548	60.9345	139.959	158.176	124.35	181.769	150.117	117.136
ENSMUSG00000000420	na	4419.24	6225.95	6609.03	3996.53	6610.32	5275.03	4393.1	5934.18	6868.49	3264.54	3776.95	3873.83	3133.18	3780.23	2898.51
ENSMUSG00000000439	na	865.476	743.226	726.518	886.255	923.279	600.041	823.318	754.288	709.633	921.777	1061.23	1034	978.543	996.751	868.703
ENSMUSG00000000440	na	283.749	187.189	190.55	175.957	184.971	175.194	249.399	213.993	215.81	312.466	210.632	225.047	239.169	199.096	255.939
ENSMUSG00000000441	na	4851.38	6366.29	5426.79	4428.04	4327.55	4819.62	5700.15	6082.06	5208.18	4451.32	4131.94	4351.56	4389.05	4142.89	4012.43
ENSMUSG00000000486	na	183.307	342.105	426.061	282.696	289.656	330.241	138.221	405.98	470.338	223.284	241.298	254.107	295.203	281.152	348.023
ENSMUSG00000000489	na	1444.69	1091.79	965.597	2206.58	5081.61	912.763	818.309	1397.03	2069.88	3835.53	3843.83	3702.77	2846.81	2982.64	3019.8
ENSMUSG00000000530	na	3969.96	5748.5	6107.98	11923.6	16111.3	2927.52	1716.74	4603.89	5637.15	13599.6	19479.5	16850.1	12240	20236.9	13486.5
ENSMUSG00000000531	na	948.341	616.896	776.474	1474.93	1004.35	440.614	547.877	608.59	670.914	1275.26	1153.23	1521.26	1213.61	1254.37	1248.55
ENSMUSG00000000532	na	5742.78	7494.96	7492.83	4480.44	5465.68	7759.36	10662.1	9024.14	8042.08	2486.07	3772.81	3500.72	3180.27	4084.33	3383.41
ENSMUSG00000000538	na	2630.81	2193.75	2265.22	3876.43	3488.41	2243.35	2022.26	2725.75	2584.67	3071.91	3912.43	3820.44	3457.81	3984.56	3700.15
ENSMUSG00000000552	na	91.2349	283.09	290.464	186.307	250.3	153.295	170.273	147.974	182.168	192.688	224.351	256.133	300.669	251.892	269.48
ENSMUSG00000000555	na	1463.1	4768.5	3811.54	1960.13	2261.37	2904.66	2579.1	2927.59	3766.28	1283.71	1651.98	1667.88	1322.28	1748.61	1614.17
ENSMUSG00000000561	na	1831.82	1777.91	1676.83	1139.1	1280.61	2078.17	2124	1586.09	1764.42	1234.11	1090.66	1173.95	1305.51	1194.11	1222.49
ENSMUSG00000000562	na	174.937	426.28	349.699	64.0432	71.462	274.179	189.878	272.423	272.936	42.9642	23.5805	44.6038	31.4331	82.0514	45.3649
ENSMUSG00000000563	na	7506.46	6062.31	5695.4	4374.34	3609.43	7017.33	7036.22	5465.02	5776.07	5431.24	3965.08	4267.14	4747.37	3269.46	4119.52
ENSMUSG00000000567	na	168.241	279.401	134.884	64.6901	66.9042	1129.13	737.18	501.594	706.459	27.9918	53.2632	39.8731	36.217	47.7067	44.6878
ENSMUSG00000000568	na	5584.51	5973.52	6026.16	3839.37	3789.13	5275.09	6473.31	5775.49	5857.86	3393.56	3391.91	3522.36	3834.91	3176.61	3972.5
ENSMUSG00000000579	na	325.382	371.997	440.075	791.964	647.241	422.166	548.596	405.149	471.483	818.883	713.644	688.051	786.853	731.964	911.74
ENSMUSG00000000581	na	1988.75	1515.03	1548.66	1031.81	900.27	1505.8	1632.61	1651.99	1383.09	1520.02	981.334	1025.89	1147.33	821.193	1027.82
ENSMUSG00000000594	na	2300.96	2496.17	2921.05	2963.45	2613.2	1575	1860.98	2321.29	1879.45	3065.43	3462.11	3285.14	3420.8	3434.25	3501.9
ENSMUSG00000000600	na	2033.94	1696.7	1845.56	2019.62	1914.26	1743.19	1992.19	2369.86	1760.12	1973.76	2011.1	1812.53	1857.99	2004.95	2101
ENSMUSG00000000605	na	3582.4	2894.52	2931.03	4048.99	3630.16	3564.35	2764.42	2888.17	3072.74	4599.13	4317.51	4368.45	4268.18	4196.95	4229.1
