#1.2										
19067	9									
Name	Description	S47	S48	S79	S77	S75	S46	S42	S81	S82
ENSMUSG00000001542	na	3782.08	7073.15	5313.75	5494.74	8163.49	9466.09	5824.93	9744.94	5216.89
ENSMUSG00000001552	na	7409.98	7184.21	6789.27	9409.38	8577.74	6833.05	8486.23	7088.29	6707.39
ENSMUSG00000001555	na	178.091	55.5699	137.536	54.2984	58.9345	79.725	89.4015	64.2447	111.519
ENSMUSG00000001569	na	1027.25	1384.48	1201.69	1436.97	1247.78	1269.74	1210.15	1232.97	1033.24
ENSMUSG00000001576	na	3012.02	2763.37	3458.51	2797.32	3465.99	4084.71	4051.52	4744.54	4747
ENSMUSG00000001583	na	438.778	716.853	849.313	577.89	612.715	535.798	434.103	681.169	376.8
ENSMUSG00000001588	na	24.95	11.114	24.094	26.1796	21.3383	26.9658	20.2766	31.6823	32.104
ENSMUSG00000001604	na	782.914	480.283	479.871	790.235	1000.87	826.561	1232.27	983.91	920.879
ENSMUSG00000001627	na	2154.32	6332.47	5551.64	5790.63	6482.8	6786	3493.14	6970.93	1830.79
ENSMUSG00000001630	na	780.057	932.11	965.237	791.568	881.415	952.36	624.18	995.906	1015.86
ENSMUSG00000001632	na	1314.61	1759.98	2279.9	1833.55	1867.62	1879.41	1819.36	2146.48	1627.16
ENSMUSG00000001642	na	537.566	1116.48	12221.4	447.57	14345.5	1798.21	1386.78	8354.29	11396.5
ENSMUSG00000001656	na	23.2293	27.7849	27.1057	7.75692	16.2578	16.414	3.68666	25.5219	11.8278
ENSMUSG00000001657	na	381.133	198.464	203.795	196.832	314.995	144.208	258.988	142.57	154.606
ENSMUSG00000001661	na	608.265	220.692	140.548	95.9919	101.611	93.7941	115.208	90.6466	315.126
ENSMUSG00000001663	na	3367.44	2499.03	2548.91	3407.19	3728.18	1640.21	3055.34	1933.49	1815.59
ENSMUSG00000001665	na	2435.64	1663.13	2682.46	2799.28	3141.21	1116.15	3089.78	1994.23	2023.4
ENSMUSG00000001666	na	2849.43	2360.93	2677.48	3036.83	3637.61	3409.43	5183.26	3493.87	3521.29
ENSMUSG00000001670	na	5.16208	0.793856	34.1331	6.7873	211.351	140.691	36.8666	4.40032	71.8117
ENSMUSG00000001672	na	845.72	846.25	682.662	636.067	490.782	567.455	494.012	476.115	729.945
ENSMUSG00000001674	na	742.751	735.419	994.39	662.019	804.208	729.312	627.597	1023.27	846.517
ENSMUSG00000001687	na	4718.88	6513.28	6074.8	5890.22	7015.41	5170.49	5332.61	6146.99	5563.41
ENSMUSG00000001700	na	1302.57	1626.63	1763.88	1372	1773.1	1916.91	1870.05	2138.54	1654.2
ENSMUSG00000001707	na	641.818	750.987	661.579	514.865	651.327	821.871	498.62	658.288	491.699
ENSMUSG00000001729	na	2950.98	4015.33	3851.03	3253.06	2901	3276.94	3213.83	3632.93	3098.89
ENSMUSG00000001739	na	553.202	96.0564	179.701	100.84	134.127	73.8629	270.048	121.449	472.268
