#1.2							
20399	6						
Name	Description	S39	S3	S2	S35	S37	S33
ENSMUSG00000000983	na	7.43397	2.42106	3.90584	4.45263	4.06253	3.4167
ENSMUSG00000001014	na	27.7084	38.7369	31.2467	24.8075	19.6355	34.8503
ENSMUSG00000001016	na	2153.78	1827.09	2349.99	1847.86	2117.95	2235.92
ENSMUSG00000001017	na	5674.07	5364.27	5688.2	5138.36	4929.15	5395.61
ENSMUSG00000001018	na	1944.34	2081.3	2124.76	1840.2	2442.25	2479.16
ENSMUSG00000001020	na	995.479	652.072	1074.11	550.218	617.505	588.355
ENSMUSG00000001021	na	12.8405	13.7193	20.1802	13.994	11.5105	21.8669
ENSMUSG00000001025	na	10896.4	5645.04	15834.3	5271.91	7791.12	8037.65
ENSMUSG00000001027	na	17.5712	27.4386	26.6899	42.618	21.6668	108.651
ENSMUSG00000001029	na	3229.78	4127.1	3080.4	3797.46	3239.17	2764.11
ENSMUSG00000001034	na	1102.93	1062.85	910.061	1033.64	1209.96	1143.23
ENSMUSG00000001036	na	5145.64	5428.59	4048.3	5526.2	4193.22	4087.68
ENSMUSG00000001039	na	266.947	283.263	353.478	199.732	350.731	425.722
ENSMUSG00000001052	na	2839.79	3061.86	2653.33	3191.31	2702.92	2733.36
ENSMUSG00000001053	na	1227.96	1087.86	955.628	1128.42	683.859	728.441
ENSMUSG00000001054	na	804.22	861.894	859.942	755.043	780.005	874.681
ENSMUSG00000001056	na	520.377	374.457	589.13	368.296	371.721	520.705
ENSMUSG00000001062	na	899.511	924.843	774.007	895.616	896.464	923.191
ENSMUSG00000001065	na	1263.11	1391.3	1215.36	1352.32	1545.12	1313.38
ENSMUSG00000001082	na	725.149	671.439	674.408	687.614	748.859	802.925
ENSMUSG00000001089	na	2782.25	3223.96	2324.58	3656.94	1855.2	1769.87
ENSMUSG00000001095	na	3.37908	18.5614	5.20778	11.4496	17.6043	122.318
ENSMUSG00000001098	na	7365.72	8041.98	6055.34	9765.92	5337.5	6084.47
ENSMUSG00000001100	na	1267.15	1282.36	1312.35	1248	1184.22	1332.51
ENSMUSG00000001105	na	1929.45	1608.39	2599.99	1400.03	1851.84	2147.06
ENSMUSG00000001119	na	6595.29	6733.78	4532.73	7719.57	6508.83	6503.35
ENSMUSG00000001120	na	613.641	751.333	598.898	592.836	551.828	631.407
ENSMUSG00000001123	na	2214.68	2274.18	1526.5	2916.46	1826.12	1433
ENSMUSG00000001127	na	3301.36	3461.31	3237.86	3371.26	3810.64	3950.39
ENSMUSG00000001128	na	905.593	563.299	874.908	845.363	770.526	801.558
ENSMUSG00000001131	na	539.3	268.737	363.242	223.267	595.164	426.405
ENSMUSG00000001134	na	152.514	152.526	170.636	108.735	175.208	182.449
ENSMUSG00000001138	na	1330	1464.76	973.848	1569.25	1238.39	1143.91
ENSMUSG00000001143	na	1101.58	1154.84	1272.01	1165.96	1001.4	1137.08
ENSMUSG00000001150	na	1288.78	1620.49	1147.66	1746.71	1544.44	1332.52
ENSMUSG00000001151	na	4091.94	4679.18	3711.23	4988.26	3831.65	3512.36
ENSMUSG00000001156	na	5528.83	3555.72	2599.33	5357.79	3926.43	1765.75
ENSMUSG00000001157	na	928.569	919.194	1022.68	793.84	799.641	943.693
ENSMUSG00000001158	na	1170.51	853.02	1669.74	777.302	1141.57	1143.91
ENSMUSG00000001166	na	201.393	188.035	186.829	129.762	171.98	170.152
ENSMUSG00000001173	na	1217.81	1371.12	1197.15	1376.5	1373.14	1353.7
ENSMUSG00000001175	na	23396.3	23096.8	27466.2	22571.3	20128.5	22431.2
ENSMUSG00000001211	na	3579.82	3721.09	2674.2	3699.45	2868.85	3172.03
ENSMUSG00000001227	na	748.131	600.422	341.761	884.807	618.178	370.371
ENSMUSG00000001228	na	174.225	122.286	211.389	114.633	134.004	171.075
ENSMUSG00000001229	na	1938.9	2075.68	1689.91	2267.64	1959.53	1829.97
ENSMUSG00000001240	na	18398.7	16742.3	14870.8	14801.1	15541.1	12416.4
ENSMUSG00000001247	na	2005.17	1574.49	2036.29	1380.31	1536.99	1904.49
ENSMUSG00000001248	na	3158.74	2861.69	2434.68	3074.27	3756.48	2712.2
ENSMUSG00000001249	na	400.758	416.421	442.662	342.852	396.097	921.141
ENSMUSG00000001270	na	1134.89	1180.99	1762.09	919.966	1398.69	1831.83
ENSMUSG00000001280	na	3860.96	4051.25	3314.75	4491.48	3323.82	3151.57
ENSMUSG00000001281	na	862.34	723.896	841.056	791.931	898.496	760.557
ENSMUSG00000001285	na	786.771	672.852	892.829	696.423	862.401	870.696
ENSMUSG00000001288	na	3215.53	2872.17	3045.31	2845.85	3070.71	3019.09
ENSMUSG00000001289	na	3422.46	2756.7	4866.34	2516.11	3006.03	3432.63
ENSMUSG00000001300	na	10106.8	10128.1	6593.7	9997.44	7151.4	6182.17
ENSMUSG00000001305	na	183.146	186.421	192.688	181.922	161.147	195.435
ENSMUSG00000001313	na	329.122	217.052	380.157	200.368	259.317	292.469
ENSMUSG00000001323	na	758.263	903.862	656.832	977.67	710.264	835.726
ENSMUSG00000001333	na	25.0052	69.4036	18.8782	57.2481	35.2086	90.8842
ENSMUSG00000001334	na	58.1201	598.003	41.6623	262.07	230.887	410.003
ENSMUSG00000001348	na	438.606	409.157	430.294	364.479	454.325	504.988
ENSMUSG00000001349	na	1182	1589.02	1516.77	1760.71	2357.61	2235.87
ENSMUSG00000001366	na	1332.71	1470.39	1268.76	1622.66	1042.72	1178.76
ENSMUSG00000001376	na	988.043	896.6	1140.5	821.83	855.162	969.658
ENSMUSG00000001380	na	1409.75	1274.28	1359.88	1200.3	1231.62	1359.16
ENSMUSG00000001383	na	2229.51	1887.62	2667.06	1676.09	2298.02	2255.02
ENSMUSG00000001403	na	143.273	107.334	326.138	108.771	109.688	100.451
ENSMUSG00000001415	na	1837.55	1890.84	1756.98	2067.27	1829.49	1799.24
ENSMUSG00000001416	na	2992.57	2899.61	3035.48	2875.77	2723.26	3038.82
ENSMUSG00000001418	na	3030.36	2914.13	2695.68	2706.55	2443.61	2734.74
ENSMUSG00000001419	na	5427.59	4974.41	4247.07	4882.76	4801.27	4743.19
ENSMUSG00000001420	na	265.596	253.403	261.691	187.011	213.282	260.353
ENSMUSG00000001424	na	2884.41	2701.06	2376.04	2872.57	2375.2	2356.87
ENSMUSG00000001435	na	833.953	926.462	645.769	1179.95	903.231	938.911
ENSMUSG00000001436	na	106.779	131.544	141.261	150.753	135.418	235.752
ENSMUSG00000001440	na	6528.35	6473.95	5973.36	6599.43	6180.51	6053.01
ENSMUSG00000001441	na	4377.93	3843.82	5037.94	3922.07	4053.71	4472.46
ENSMUSG00000001444	na	81.0978	84.7369	75.5129	75.0586	69.74	48.5172
