#1.2							
19067	6						
Name	Description	S78	S76	S74	S80	S43	S44
ENSMUSG00000001288	na	719.87	978.617	1024.72	1145.17	442.87	601.467
ENSMUSG00000001289	na	3485.55	3573.09	3081.15	2846.42	3141.09	2945.53
ENSMUSG00000001300	na	811.949	1136.43	1281.28	1630.28	552.124	705.486
ENSMUSG00000001305	na	241.073	283.936	311.643	293.716	271.185	276.015
ENSMUSG00000001313	na	232.703	170.913	199.21	223.587	236.067	239.969
ENSMUSG00000001323	na	4519.2	3248.74	3660.55	3989.92	5769.2	5583.16
ENSMUSG00000001333	na	24.2748	35.1474	38.4836	26.4013	15.6077	19.5682
ENSMUSG00000001334	na	112.166	66.1598	111.678	60.2281	66.3329	72.0935
ENSMUSG00000001348	na	2244.17	1552.67	1961.21	1783.71	2411.39	2225.66
ENSMUSG00000001349	na	61.9425	289.449	458.786	584.131	60.48	441.83
ENSMUSG00000001366	na	1933.63	1932.42	1978.51	1776.31	1986.09	2312.15
ENSMUSG00000001376	na	1048	1042.02	1059.43	1147.63	1415.43	1338.88
ENSMUSG00000001380	na	1458.16	1387.98	1398.23	1506.53	1664.18	1592.24
ENSMUSG00000001383	na	1880.89	2033.71	1903.8	2026.31	2014.38	1746.73
ENSMUSG00000001403	na	94.5878	66.1598	63.3848	48.6775	45.8477	16.4785
ENSMUSG00000001415	na	2323.69	2299.76	2559.53	2626.93	2736.22	2873.43
ENSMUSG00000001416	na	3972.78	3746.33	3884.6	4914.73	5375.69	5253.42
ENSMUSG00000001418	na	5683.63	4398.9	4412.76	4956.91	6647.9	5902.37
ENSMUSG00000001419	na	3159.9	3068.14	3080.97	2859.64	2589.93	2939.35
ENSMUSG00000001420	na	235.214	219.843	330.507	284.64	174.612	256.446
ENSMUSG00000001424	na	2724.6	2417.56	2483.28	2583.2	2941.08	2778.71
ENSMUSG00000001435	na	6044.36	5936.89	6828.8	7025.8	4747.82	4557.3
ENSMUSG00000001436	na	4467.51	3039.26	3320.13	2390.13	4185.77	3758.13
ENSMUSG00000001440	na	5409.94	5547.76	6241.12	6116.08	5395.37	5309.16
ENSMUSG00000001441	na	3529.89	3876.51	4092.1	4291.87	3722.45	3664.41
ENSMUSG00000001445	na	2548.85	2183.96	2204.13	2776.27	3489.31	3137.09
ENSMUSG00000001467	na	11715.6	9248.64	8461.81	17087.5	21963.7	17848.2
ENSMUSG00000001472	na	10120	9716.47	9491.18	10037.4	9765.48	9707.94
ENSMUSG00000001473	na	170.76	201.236	314.66	250.813	139.494	152.426
ENSMUSG00000001482	na	4860.72	4151.65	4007.66	5725.01	8530.01	7762.2
ENSMUSG00000001493	na	155.693	239.829	335.034	200.485	104.377	142.127
ENSMUSG00000001504	na	1489.13	1280.47	937.944	1121.23	822.333	815.686
ENSMUSG00000001506	na	390.907	273.599	947.754	937.248	391.169	458.308
ENSMUSG00000001507	na	2203.15	3788.93	5028.61	7575.91	1347.14	2113.37
ENSMUSG00000001508	na	5.02236	11.0266	6.79123	13.2007	5.8529	7.20934
ENSMUSG00000001517	na	58.5942	42.7282	78.4764	53.6277	67.3084	46.3458
ENSMUSG00000001518	na	698.109	695.366	627.812	660.034	659.426	750.8
ENSMUSG00000001520	na	180.805	156.44	172.044	108.906	121.935	116.379
ENSMUSG00000001521	na	1427.19	1421.05	1484.26	1874.49	2574.3	2685.99
ENSMUSG00000001524	na	372.492	345.961	344.089	344.042	406.777	342.959
ENSMUSG00000001525	na	2410.74	2622.98	3226.56	2685.52	1808.54	1998.02
ENSMUSG00000001542	na	2454.26	2493.4	2370.14	2664.07	3219.09	2988.79
ENSMUSG00000001552	na	6691.83	6213.62	6684.58	6413.65	6717.18	6279.38
ENSMUSG00000001555	na	118.863	145.414	215.056	150.158	57.5535	96.8112
ENSMUSG00000001569	na	1036.28	1006.87	980.956	957.048	953.047	989.739
ENSMUSG00000001576	na	3338.17	3599.54	3688.31	4327.37	4267.85	3979.62
ENSMUSG00000001583	na	481.31	564.424	489.724	457.074	301.424	354.289
ENSMUSG00000001588	na	30.9712	32.3908	30.9378	36.3018	39.0194	39.1364
ENSMUSG00000001604	na	1448.12	1157.8	1017.93	1028.83	1899.26	1538.68
ENSMUSG00000001627	na	650.396	896.604	1055.66	1697.94	617.481	802.297
ENSMUSG00000001630	na	849.464	913.865	1050.49	984.357	1061.11	1156.73
ENSMUSG00000001632	na	1397.89	1467.24	1468.42	1448.77	1297.39	1253.39
ENSMUSG00000001642	na	586.637	11992.1	26164.7	24894.9	1436.43	4817.05
ENSMUSG00000001656	na	25.9489	18.6075	12.0733	20.6261	33.1664	35.0168
