#1.2										
20399	9									
Name	Description	S41	S40	S5	S1	S6	S7	S34	S36	S38
ENSMUSG00000000686	na	65.337	60.662	45.1837	21.7625	151.125	14.8915	11.0176	48.5658	48.2398
ENSMUSG00000000690	na	108.679	48.5296	36.8846	50.2211	86.5819	39.4188	32.0513	54.6365	59.0303
ENSMUSG00000000693	na	280.756	197.686	214.854	189.166	369.941	192.714	217.348	327.061	251.99
ENSMUSG00000000708	na	3393.48	2171.71	2152.37	2382.19	3537.64	2026.47	1976.03	2803.43	2718.01
ENSMUSG00000000711	na	4169.56	3210.71	3385.37	2777.53	5360.6	3075.96	2234.16	3489.52	4045.14
ENSMUSG00000000730	na	6.46901	32.1152	37.8068	8.37017	10.2324	28.9071	10.016	8.34725	18.4073
ENSMUSG00000000732	na	1581.66	844.275	1073.35	938.297	911.473	1222.86	967.542	1732.43	1598.26
ENSMUSG00000000738	na	1229.75	1306.02	1285.43	1335.88	1275.91	1365.64	1431.29	1202.76	1229.48
ENSMUSG00000000739	na	840.974	216.956	221.308	506.394	586.396	240.016	453.727	404.462	371.954
ENSMUSG00000000740	na	1720.32	2174.73	2025.85	5788.37	1088.46	2776.39	3800.31	1818.29	2384.95
ENSMUSG00000000743	na	2319.43	3058.03	3255.92	3330.46	2521.52	2774.74	2979.46	2865.44	3181.68
ENSMUSG00000000751	na	1955.59	1396.63	1313.1	2011.32	1993.79	1253.51	1317.11	1996.54	1918.87
ENSMUSG00000000753	na	470.297	321.152	365.158	668.777	321.141	420.467	953.526	604.036	502.71
ENSMUSG00000000759	na	2215.01	1832	2018.53	1828.88	1953.6	2003.35	2687.33	2164.97	1810.88
ENSMUSG00000000776	na	360.971	812.161	876.928	631.948	434.484	990.724	967.545	695.86	775.016
ENSMUSG00000000782	na	892.08	1531.55	1282.66	626.09	1141.31	736.694	249.399	1264.23	1649.04
ENSMUSG00000000787	na	13205.2	24573.8	23251.2	19992.8	21906.3	28871.2	28029.7	35384.2	29425.9
ENSMUSG00000000791	na	18.7601	33.5425	37.8068	12.5553	80.2851	36.7908	14.0224	53.1189	88.228
