#1.2																
19067	15															
NAME	DESCRIPTION	S42	S46	S81	S82	S47	S48	S75	S77	S79	S43	S44	S80	S74	S76	S78
ENSMUSG00000000682	na	189.863	177.036	95.0469	157.986	261.545	157.977	101.611	296.702	210.822	40.9703	47.3757	48.6775	93.568	64.0923	90.4025
ENSMUSG00000000686	na	662.677	90.2769	159.292	373.421	135.074	62.7146	171.723	170.652	209.818	120.96	170.964	114.681	183.363	88.9023	129.744
ENSMUSG00000000690	na	796.32	916.832	885.342	1190.38	1695.74	1888.58	1580.06	1204.26	1637.38	1074.98	1112.3	1933.9	1889.47	2261.15	1577.87
ENSMUSG00000000693	na	108.756	110.208	66.0048	69.2771	149.7	78.5916	87.3856	133.807	173.677	54.6271	58.7047	71.7787	113.942	84.0781	80.3578
ENSMUSG00000000708	na	2929.38	4701.88	3595.19	2994.92	2787.01	3785.55	2743.24	3334.83	2842.1	3335.66	3446.23	2792.85	2112.22	2186.44	2305.77
ENSMUSG00000000711	na	4715.77	4179.83	4009.03	5449.37	5097.88	5119.27	3432.64	5022.92	4401.09	5506.4	5686.47	5111.28	5287.18	5344.92	6039.68
ENSMUSG00000000732	na	554.843	871.11	597.563	1046.77	852.603	1844.91	1371.74	1570.78	2198.58	279.964	393.423	629.508	738.73	763.597	466.244
ENSMUSG00000000738	na	4608.32	4618.21	4591.3	4275.73	2837.39	3379.42	3301.3	3861	2941.47	4565.24	4656.21	3773.73	3273.38	3051.62	3682.22
ENSMUSG00000000739	na	35.9449	32.8279	66.8849	76.0359	167.767	89.7057	107.708	61.0857	126.493	51.7006	43.2561	47.8524	98.0955	116.469	77.0095
ENSMUSG00000000740	na	1550.5	1390.11	1340.36	889.931	1302.26	1487.41	2536.76	1245.87	1722.61	1090.86	1033.48	991.568	1014.69	1112.65	920.852
ENSMUSG00000000743	na	5429.69	4946.78	4821.74	3922.64	3578.96	3522.33	4115.67	4061.32	3644.45	4548.65	4406.94	3875.85	3325.04	3315.2	3474.97
ENSMUSG00000000751	na	1641.48	1083.33	1171.37	1634.75	1495.26	992.313	1296.54	1271.16	1245.86	1662.24	1767.32	1844.83	1686.52	1685.68	1520.1
ENSMUSG00000000753	na	60.8299	14.0691	29.9222	85.3292	56.7828	15.0833	56.9022	35.8757	82.321	65.3574	47.3757	70.1286	110.169	72.3623	41.853
ENSMUSG00000000759	na	1483.89	1513.61	1635.16	1498.76	1640.67	1522.61	1295.54	1542.66	1525.95	1571.51	1391.4	1503.22	1429.18	1731.87	1649.85
ENSMUSG00000000776	na	1562.21	1610.91	1661.55	900.602	840.561	1617.09	1636.95	1499.01	1305.08	653.573	542.761	562.68	471.615	563.047	680.531
ENSMUSG00000000782	na	50.6916	57.4489	58.0842	94.6224	36.9949	53.1883	65.0311	82.4172	92.3601	17.5587	29.8673	81.6792	76.9673	71.6731	28.4601
ENSMUSG00000000787	na	16575.3	22141.1	21133.8	13045.3	11485.6	28636.9	24981.1	31626.3	25276.8	9063.21	10492.7	11440.9	15489.1	12912.8	12669
ENSMUSG00000000791	na	43.3183	16.414	11.4408	30.4144	10.3242	10.3201	8.12889	18.4227	11.0431	3.90194	4.11963	4.95025	7.54581	4.82416	5.85942
ENSMUSG00000000794	na	42.3966	59.7938	29.9222	99.6915	60.2242	146.863	38.6122	53.3288	54.2114	24.3871	43.2561	112.206	144.125	149.549	77.0096
ENSMUSG00000000804	na	2582.52	3142.1	2971.12	2899.46	2769.43	3333.34	2848.17	3719.4	2492.72	2544.05	2551.04	2507.27	2590.45	2487.84	2720.46
ENSMUSG00000000805	na	6265.34	4722.43	5038.45	4246.26	2026.1	1479.74	3758.57	2326.1	1683.57	8985.13	7954.9	4961.01	2820.6	3305.94	3642.02
ENSMUSG00000000811	na	897.704	952.012	1109.77	640.392	684.829	830.379	846.415	981.254	942.67	696.498	636.483	684.788	775.714	671.933	791.857
